0,1,2,3
median,unet,nmf,nlm
nlm,nmf,median,unet
unet,nmf,median,nlm
median,nmf,nlm,unet
unet,nmf,nlm,median
nmf,nlm,median,unet
median,nmf,unet,nlm
unet,median,nmf,nlm
nlm,nmf,unet,median
unet,nmf,nlm,median
nmf,median,unet,nlm
median,nmf,nlm,unet
median,unet,nlm,nmf
nmf,nlm,median,unet
unet,nmf,median,nlm
unet,nlm,nmf,median
nmf,median,nlm,unet
median,nmf,unet,nlm
nlm,nmf,unet,median
unet,median,nlm,nmf
nlm,median,unet,nmf
unet,nlm,median,nmf
median,nlm,unet,nmf
nmf,unet,median,nlm
unet,median,nmf,nlm
unet,median,nmf,nlm
median,unet,nmf,nlm
unet,nmf,median,nlm
unet,median,nlm,nmf
nlm,nmf,median,unet
unet,median,nmf,nlm
unet,nmf,median,nlm
nlm,unet,nmf,median
nmf,median,unet,nlm
nmf,nlm,median,unet
nmf,nlm,unet,median
nmf,unet,median,nlm
unet,nlm,median,nmf
unet,nlm,median,nmf
nlm,median,unet,nmf
nmf,nlm,median,unet
unet,median,nlm,nmf
nmf,nlm,median,unet
nlm,nmf,unet,median
nmf,unet,nlm,median
